timestamp,nav,cash,gross_exposure,net_exposure,leverage,daily_pnl,drawdown
1619049600000000000,917940,917940,0,0,0,0,0.0911513
1619136000000000000,917940,917940,0,0,0,0,0.0911513
1619222400000000000,917940,917940,0,0,0,0,0.0911513
1619308800000000000,917940,917940,0,0,0,0,0.0911513
1619395200000000000,917940,917940,0,0,0,0,0.0911513
1619481600000000000,917940,917940,0,0,0,0,0.0911513
1619568000000000000,917940,917940,0,0,0,0,0.0911513
1619654400000000000,917940,917940,0,0,0,0,0.0911513
1619740800000000000,917940,917940,0,0,0,0,0.0911513
1619827200000000000,917940,917940,0,0,0,0,0.0911513
1619913600000000000,917940,917940,0,0,0,0,0.0911513
1620000000000000000,917940,917940,0,0,0,0,0.0911513
1620086400000000000,917940,917940,0,0,0,0,0.0911513
1620172800000000000,918191,740001,178189,178189,0.194066,250.478,0.0909033
1620259200000000000,917885,740001,177884,177884,0.193797,-305.69,0.0912059
1620345600000000000,915736,740001,175735,175735,0.191905,-2148.97,0.0933336
1620432000000000000,916846,740001,176845,176845,0.192884,1110.25,0.0922344
1620518400000000000,918845,740001,178844,178844,0.19464,1999.04,0.0902551
1620604800000000000,919057,740001,179055,179055,0.194825,211.159,0.090046
1620691200000000000,921141,740001,181139,181139,0.196647,2084.03,0.0879827
1620777600000000000,921377,740001,181376,181376,0.196853,236.721,0.0877483
1620864000000000000,922952,740001,182950,182950,0.198223,1574.22,0.0861897
1620950400000000000,921726,740001,181725,181725,0.197157,-1225.24,0.0874028
1621036800000000000,922538,694060,228478,228478,0.247663,811.751,0.086599
1621123200000000000,923855,694060,229795,229795,0.248735,1316.48,0.0852956
1621209600000000000,925197,694060,231137,231137,0.249824,1342.08,0.0839668
1621296000000000000,924917,694060,230857,230857,0.249598,-279.383,0.0842434
1621382400000000000,924137,694060,230077,230077,0.248964,-780.332,0.085016
1621468800000000000,923520,694060,229460,229460,0.248463,-616.736,0.0856267
1621555200000000000,924048,694060,229988,229988,0.248892,528.058,0.0851038
1621641600000000000,925140,694060,231080,231080,0.249779,1091.89,0.0840228
1621728000000000000,924568,694060,230508,230508,0.249314,-572.562,0.0845896
1621814400000000000,924359,694060,230299,230299,0.249145,-208.158,0.0847957
1621900800000000000,925960,694060,231900,231900,0.250443,1600.54,0.0832111
1621987200000000000,923214,694060,229154,229154,0.248213,-2745.81,0.0859297
1622073600000000000,920662,624370,296292,296292,0.321825,-2552.38,0.0884568
1622160000000000000,919083,624370,294713,294713,0.32066,-1579.12,0.0900203
1622246400000000000,921234,624370,296864,296864,0.322246,2151.38,0.0878902
1622332800000000000,923250,624370,298880,298880,0.323726,2015.74,0.0858944
1622419200000000000,920676,624370,296306,296306,0.321835,-2574.05,0.088443
1622505600000000000,923267,624370,298897,298897,0.323739,2591.47,0.0858772
1622592000000000000,924683,624370,300313,300313,0.324774,1415.8,0.0844754
1622678400000000000,925063,624370,300693,300693,0.325051,379.892,0.0840992
1622764800000000000,925459,624370,301089,301089,0.32534,395.921,0.0837072
1622851200000000000,922996,624370,298626,298626,0.32354,-2463.15,0.086146
1622937600000000000,923233,728230,195002,195002,0.211217,237.151,0.0859112
1623024000000000000,924295,667007,257287,257287,0.278361,1061.82,0.0848599
1623110400000000000,922068,667007,255060,255060,0.276618,-2226.98,0.0870648
1623196800000000000,926118,667007,259111,259111,0.279781,4050.48,0.0830545
1623283200000000000,923538,667007,256531,256531,0.27777,-2579.7,0.0856086
1623369600000000000,923416,667007,256409,256409,0.277674,-122.393,0.0857298
1623456000000000000,924263,667007,257256,257256,0.278336,847.066,0.0848911
1623542400000000000,923011,667007,256004,256004,0.277357,-1251.9,0.0861306
1623628800000000000,920526,667007,253519,253519,0.275406,-2485.23,0.0885912
